platform,native_content_id,metric_name,metric_value_exact,observed_at,metric_definition_version,visibility,receipt_id
youtube,wF0JWdmgYPI,view_count,445342,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,Pj2qb3E0SqY,view_count,33453,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,7PH4PalhtQs,view_count,884506,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,0MmOHdJddyE,view_count,6735522,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,x7FnxozM6CI,view_count,2127164,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,ASwhjmbXvDY,view_count,566384,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,Cr5HV-cY9Z0,view_count,30185,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,H0t99yQWJeA,view_count,63097,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,sH9fdyS8Oxw,view_count,92338,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,5y_35sqk-iU,view_count,24792,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,tqxAaVe8KH0,view_count,301913,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,eUEJe8EFe64,view_count,51456,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,YQRk6iDykHw,view_count,116995,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,GeCKwuK5W4s,view_count,183350,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,TPsm1y7A07c,view_count,1720218,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,Szg0NmaAZqE,view_count,115528,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,tWnkq9zIK7A,view_count,16499,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,UMTDNjOL2KM,view_count,607537,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,VZrf5Ks9Ixo,view_count,100214,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,sTUMLAuZKc4,view_count,13918,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,nU9pgOM-_7s,view_count,21270,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,gYu-XroEElw,view_count,104240,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,xIBKUvuO5Fk,view_count,18120906,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,o3kMC5RE1cc,view_count,101011,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,hoXkEDe4Rew,view_count,38911,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,vIxVFg38U-g,view_count,13392,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,QJx96CYpJNU,view_count,16362275,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,ReC2ZGbo7n4,view_count,404256,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,Aqs13OxE9rs,view_count,73920,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,bk-lKnwLztc,view_count,3514180,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,bk-lKnwLztc,like_count,42000,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,bk-lKnwLztc,comment_count,6770,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,5eIBmqIiLOzg44Gj6
youtube,_5-4wH4aiLU,view_count,41937,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,kr4xj89HwiI,view_count,153372,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,H0M2a_ZngVA,view_count,610,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,-jba7xVTqVA,view_count,13710,2026-08-12T13:50:58.446867+07:00,youtube_public_v1,PUBLIC,M5uwXGq8dZ92waEPT
youtube,9oe2Hk0vTxE,view_count,4871170,2026-08-12T13:52:21.084157+07:00,youtube_public_v1,PUBLIC,W1tKZGzU3uGHBIo5U
youtube,DDJXbr6NlCI,view_count,7420143,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,GNW7dLmYUV8,view_count,20890,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,Qzc1gq34szk,view_count,30015,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
youtube,hiVt64PSzI0,view_count,9479666,2026-08-12T13:28:03.124842+07:00,youtube_public_v1,PUBLIC,TixQy2mPtqIl9j2Dw
