show_id,show_name,content_role,query,max_results,include_shorts,include_livestreams,run_status
CDDG,Chị Đẹp Đạp Gió,HIGHLIGHT,"""Chị Đẹp Đạp Gió"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,TEASER_PREVIEW,"""Chị Đẹp Đạp Gió"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,RECAP_COMMENTARY,"""Chị Đẹp Đạp Gió"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,PRODUCTION_ACCESS,"""Chị Đẹp Đạp Gió"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,INTERVIEW_PRESS,"""Chị Đẹp Đạp Gió"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,MUSIC_PERFORMANCE,"""Chị Đẹp Đạp Gió"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,EXTENDED_DELETED,"""Chị Đẹp Đạp Gió"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,CAST_CHALLENGE,"""Chị Đẹp Đạp Gió"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,SHORT_FORM,"""Chị Đẹp Đạp Gió"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,LIVESTREAM,"""Chị Đẹp Đạp Gió"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,COMPILATION,"""Chị Đẹp Đạp Gió"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
CDDG,Chị Đẹp Đạp Gió,COMMUNITY_TRANSFORMATIVE,"""Chị Đẹp Đạp Gió"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
RAPVIET,Rap Việt,CLIP,"""Rap Việt"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,HIGHLIGHT,"""Rap Việt"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,TEASER_PREVIEW,"""Rap Việt"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,RECAP_COMMENTARY,"""Rap Việt"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,PRODUCTION_ACCESS,"""Rap Việt"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,INTERVIEW_PRESS,"""Rap Việt"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,MUSIC_PERFORMANCE,"""Rap Việt"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,EXTENDED_DELETED,"""Rap Việt"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,CAST_CHALLENGE,"""Rap Việt"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
RAPVIET,Rap Việt,SHORT_FORM,"""Rap Việt"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,LIVESTREAM,"""Rap Việt"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,COMPILATION,"""Rap Việt"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
RAPVIET,Rap Việt,COMMUNITY_TRANSFORMATIVE,"""Rap Việt"" (remix OR duet OR stitch OR meme OR ""fan edit"" OR fancam OR parody OR cover)",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,CLIP,"""The Masked Singer Vietnam"" (clip OR ""trich doan"" OR ""phan thi"" OR ""man trinh dien"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,HIGHLIGHT,"""The Masked Singer Vietnam"" (highlight OR ""khoanh khac"" OR ""best moment"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,TEASER_PREVIEW,"""The Masked Singer Vietnam"" (teaser OR trailer OR preview OR ""xem truoc"" OR ""hong tap"" OR ""don xem"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,RECAP_COMMENTARY,"""The Masked Singer Vietnam"" (recap OR ""nhin lai"" OR reaction OR ""binh luan"" OR ""phan tich"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,PRODUCTION_ACCESS,"""The Masked Singer Vietnam"" (""hau truong"" OR ""behind the scenes"" OR backstage OR ""making of"" OR rehearsal OR ""nhat ky"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,INTERVIEW_PRESS,"""The Masked Singer Vietnam"" (interview OR ""phong van"" OR ""hop bao"" OR ""le ra mat"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,MUSIC_PERFORMANCE,"""The Masked Singer Vietnam"" (""official mv"" OR ""music video"" OR ""lyric video"" OR ost OR performance OR ""live stage"" OR ""dance practice"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,EXTENDED_DELETED,"""The Masked Singer Vietnam"" (uncut OR extended OR ""khong len song"" OR ""deleted scene"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,CAST_CHALLENGE,"""The Masked Singer Vietnam"" (cast OR ""thu thach"" OR challenge OR game OR vlog)",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,SHORT_FORM,"""The Masked Singer Vietnam"" (shorts OR reel OR ""short video"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,LIVESTREAM,"""The Masked Singer Vietnam"" (livestream OR ""live stream"" OR ""live full"")",30,True,True,NOT_RUN
TMSVN,The Masked Singer Vietnam,COMPILATION,"""The Masked Singer Vietnam"" (compilation OR ""tong hop"" OR ""tuyen tap"" OR ""top khoanh khac"")",30,True,True,NOT_RUN
