platform,native_content_id,content_url,show_id,season_id,title,platform_format,content_role,authority_class,relationship_target_type,relationship_evidence,classification_state,review_status,published_at,duration_seconds,view_count,like_count,comment_count,availability_status,observed_at,actor_run_id,source_url
youtube,piOfzIT7sQ0,https://www.youtube.com/watch?v=piOfzIT7sQ0,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 Tập 6: 30 Anh Trai Reply 2000s bùng nổ kí ức,”mùa hoa nở” huyền thoại trở lại",VIDEO,UNKNOWN,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2025-10-25T12:30:06.000Z,18514,7563724,67000,5451,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
youtube,DkPgUmAKEgY,https://www.youtube.com/watch?v=DkPgUmAKEgY,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025-Tập 10:Tàu lượn cảm xúc với loạt tiết mục Livestage4,đại tiệc âm nhạc mãn nhĩ",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,ACCEPTED,ACCEPTED,2025-11-16T12:30:11.000Z,11645,4262750,46000,8792,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
youtube,Rb3hfEPyJxQ,https://www.youtube.com/watch?v=Rb3hfEPyJxQ&list=RDRb3hfEPyJxQ&start_radio=1,THSH,,"SECRET - Cody Nam Võ, Quang Hùng MasterD, Wren Evans, CONGB | TINH HÀ SAY HI [PERFORMANCE]",VIDEO,PERFORMANCE,OFFICIAL_MUSIC_CHANNEL,SHOW,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-09T05:00:06.000Z,320,2230081,59000,12852,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,alsFPwMJGOI,https://www.youtube.com/watch?v=alsFPwMJGOI,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 Tập 3: Chuyến tàu định mệnh và pha đấu trí gay cấn, Dương Lâm cầu nối cảm xúc",VIDEO,UNKNOWN,PRIMARY_BROADCASTER,EPISODE,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,NEEDS_REVIEW,2025-10-04T12:00:06.000Z,20932,8777025,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=alsFPwMJGOI
youtube,hOe5p-yMR_w,https://www.youtube.com/watch?v=hOe5p-yMR_w&list=RDhOe5p-yMR_w&start_radio=1,THSH,,"RUN TO YOU - Ali Hoàng Dương, IVAN, KIMLONG, Song Luân | TINH HÀ SAY HI [PERFORMANCE]",VIDEO,PERFORMANCE,OFFICIAL_MUSIC_CHANNEL,SHOW,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-09T03:00:06.000Z,312,233020,10000,3117,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,AtIHwHuj8SQ,https://www.youtube.com/watch?v=AtIHwHuj8SQ,THSH,,"TINH HÀ SAY HI TẬP 1: 24 Anh Trai đối mặt thử thách MV THEMESONG,ngập tràn twist với độ khó nâng cấp",VIDEO,CAST_CONTENT,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,ACCEPTED,ACCEPTED,2026-07-04T12:00:06.000Z,19096,8072773,93000,9889,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,0mQn-pPDLuM,https://www.youtube.com/watch?v=0mQn-pPDLuM,THSH,,TINH HÀ SAY HI TẬP 6: Vòng Đấu EP | Team Quang Hùng MasterD - EP: TRẠM ĐẾN EM,VIDEO,UNKNOWN,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,NEEDS_REVIEW,NEEDS_REVIEW,2026-08-08T13:00:06.000Z,13491,3317401,57000,5597,available,,jh0aF6qybmcaGnY7P,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw
youtube,6M2Pjtq1OPA,https://www.youtube.com/watch?v=6M2Pjtq1OPA&list=RD6M2Pjtq1OPA&start_radio=1,ATSH,ATSH_2025,Playlist FULL Lyrics  - Ôn Tập Trước Thềm Concert ANH TRAI SAY HI 2025,VIDEO,MUSIC_ASSET,UNVERIFIED,SEASON,INFERRED,NEEDS_REVIEW,NEEDS_REVIEW,2025-12-23T13:00:14.000Z,13640,307350,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=6M2Pjtq1OPA&list=RD6M2Pjtq1OPA&start_radio=1
youtube,TH_z2nHyct4,https://www.youtube.com/watch?v=TH_z2nHyct4,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025 -Tập 7: Cuộc đổ bộ 4 siêu phẩm cùng Bảo Thy, MIN, 52Hz, Mỹ Mỹ tại Livestage 3",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,OFFICIAL_PLAYLIST_COLLECTION,NEEDS_REVIEW,CANONICAL_OVERLAP,2025-11-01T12:30:11.000Z,7360,5929937,,,available,,M5uwXGq8dZ92waEPT,https://www.youtube.com/watch?v=TH_z2nHyct4
youtube,U_KeF48W4qE,https://www.youtube.com/watch?v=U_KeF48W4qE,ATSH,ATSH_2025,"Anh Trai ""Say Hi"" 2025-Tập 4: Cú nổ lớn ngay tại Livestage 2, 4 đội hình mở màn cuộc chiến khốc liệt",VIDEO,PERFORMANCE,PRIMARY_BROADCASTER,EPISODE,EXPLICIT_TEXT_LINK,ACCEPTED,ACCEPTED,2025-10-11T13:00:06.000Z,8290,4515626,54000,6858,available,,5eIBmqIiLOzg44Gj6,https://www.youtube.com/channel/UCkna2OcuN1E6u5I8GVtdkOw/search?query=Anh%20Trai%20Say%20Hi%202025
